"Codi","Nom","Codi comarca","Nom comarca","UTM X","UTM Y","Longitud","Latitud","Georeferència"
"251235","Lladorre","26","Pallars Sobirà","356,418.1055","4,720,282.844","1.249167838","42.62161411","POINT (1.249167838 42.62161411)"
"250582","Borges Blanques, les","18","Garrigues","322,205.8453","4,598,746.5","0.86916301","41.5206285","POINT (0.86916301 41.5206285)"
"430120","Altafulla","36","Tarragonès","363,786.0191","4,555,820.481","1.376896997","41.14227297","POINT (1.376896997 41.14227297)"
"171870","Saus, Camallera i Llampaies","02","Alt Empordà","497,002.0595","4,663,462.817","2.963730612","42.12326353","POINT (2.963730612 42.12326353)"
"080847","Fonollosa","07","Bages","389,335.1434","4,624,312.03","1.668695995","41.76293413","POINT (1.668695995 41.76293413)"
"170524","Siurana","02","Alt Empordà","499,545.6838","4,673,020.269","2.99449618","42.20934742","POINT (2.99449618 42.20934742)"
"082016","Sant Boi de Lluçanès","24","Osona","429,817.2558","4,656,649.527","2.15178496","42.05877073","POINT (2.15178496 42.05877073)"
"080057","Ametlla del Vallès, l'","41","Vallès Oriental","438,525.1365","4,613,333.639","2.261520529","41.66939188","POINT (2.261520529 41.66939188)"
"082779","Talamanca","07","Bages","414,942.1596","4,621,203.831","1.977139773","41.73809931","POINT (1.977139773 41.73809931)"
"250077","Albatàrrec","33","Segrià","300,355.8601","4,605,146.675","0.605376149","41.57307862","POINT (0.605376149 41.57307862)"
"170985","Maià de Montcal","19","Garrotxa","478,768.6626","4,674,469.429","2.742740958","42.22211068","POINT (2.742740958 42.22211068)"
"252252","Tornabous","38","Urgell","337,986.97","4,618,470.35","1.05285368","41.70153249","POINT (1.05285368 41.70153249)"
"252249","Torms, els","18","Garrigues","309,307.8639","4,585,054.449","0.719020561","41.39442803","POINT (0.719020561 41.39442803)"
"171498","Riudaura","19","Garrotxa","451,081.5611","4,670,870.633","2.407573106","42.18845748","POINT (2.407573106 42.18845748)"
"251364","Molsosa, la","35","Solsonès","378,760.4121","4,626,742.933","1.541023401","41.78327794","POINT (1.541023401 41.78327794)"
"170293","Boadella i les Escaules","02","Alt Empordà","488,263.7691","4,686,547.376","2.857547428","42.33108746","POINT (2.857547428 42.33108746)"
"081304","Montclar","14","Berguedà","397,754.4974","4,652,535.594","1.765071661","42.01820919","POINT (1.765071661 42.01820919)"
"252056","Sidamon","27","Pla d'Urgell","319,423.6703","4,610,812.285","0.832211886","41.6286088","POINT (0.832211886 41.6286088)"
