Region,Value,Year,Metric_Type,CCAA
Segovia,0.0034940720596196104,2011,Estructura Porcentual,CASTILLA Y LEÓN
Soria,0.0020262622415552793,2011,Estructura Porcentual,CASTILLA Y LEÓN
Valladolid,0.011389433908974393,2011,Estructura Porcentual,CASTILLA Y LEÓN
Zamora,0.004108155759013871,2011,Estructura Porcentual,CASTILLA Y LEÓN
Albacete,0.008586473469230554,2011,Estructura Porcentual,CASTILLA - LA MANCHA
Ciudad Real,0.01126105404150521,2011,Estructura Porcentual,CASTILLA - LA MANCHA
Cuenca,0.004613116571059326,2011,Estructura Porcentual,CASTILLA - LA MANCHA
Guadalajara,0.005483960005391955,2011,Estructura Porcentual,CASTILLA - LA MANCHA
Toledo,0.01505895845413522,2011,Estructura Porcentual,CASTILLA - LA MANCHA
Barcelona,0.1179361652505654,2011,Estructura Porcentual,CATALUÑA
Girona,0.016036785111358837,2011,Estructura Porcentual,CATALUÑA
Lleida,0.009356752674045656,2011,Estructura Porcentual,CATALUÑA
Tarragona,0.01723285754328006,2011,Estructura Porcentual,CATALUÑA
Alicante/Alacant,0.03953244052267723,2011,Estructura Porcentual,COMUNITAT VALENCIANA
Castellón/Castelló,0.012720305201738263,2011,Estructura Porcentual,COMUNITAT VALENCIANA
Valencia/València,0.05477541012018495,2011,Estructura Porcentual,COMUNITAT VALENCIANA
Badajoz,0.014782941739076476,2011,Estructura Porcentual,EXTREMADURA
Cáceres,0.008828255552964183,2011,Estructura Porcentual,EXTREMADURA
"Coruña, A",0.02439217481914486,2011,Estructura Porcentual,GALICIA
Lugo,0.00745673063550174,2011,Estructura Porcentual,GALICIA
Ourense,0.007039496066226894,2011,Estructura Porcentual,GALICIA
Pontevedra,0.020414538592057992,2011,Estructura Porcentual,GALICIA
Araba/Álava,0.006857624587312218,2011,Estructura Porcentual,PAÍS VASCO
Bizkaia,0.0247323814679382,2011,Estructura Porcentual,PAÍS VASCO
Gipuzkoa,0.015140265703532371,2011,Estructura Porcentual,PAÍS VASCO
Total Nacional,1.0,2011,Estructura Porcentual,MELILLA
Almería,0.005264697279906416,2011,Tasa de Variación Interanual,ANDALUCÍA
Cádiz,0.006644518272425293,2011,Tasa de Variación Interanual,ANDALUCÍA
Córdoba,0.0016233766233766378,2011,Tasa de Variación Interanual,ANDALUCÍA
Granada,0.0037057220708447414,2011,Tasa de Variación Interanual,ANDALUCÍA
Huelva,0.004643962848297489,2011,Tasa de Variación Interanual,ANDALUCÍA
Jaén,0.001500150015001589,2011,Tasa de Variación Interanual,ANDALUCÍA
Málaga,0.009535918626827788,2011,Tasa de Variación Interanual,ANDALUCÍA
Sevilla,0.007747068676716928,2011,Tasa de Variación Interanual,ANDALUCÍA
Huesca,-0.0026466696074106677,2011,Tasa de Variación Interanual,ARAGÓN
Teruel,-0.00692041522491349,2011,Tasa de Variación Interanual,ARAGÓN
Zaragoza,0.0022619782027555324,2011,Tasa de Variación Interanual,ARAGÓN
"Palmas, Las",0.011019798281658444,2011,Tasa de Variación Interanual,CANARIAS
Santa Cruz de Tenerife,0.009263972309885071,2011,Tasa de Variación Interanual,CANARIAS
Ávila,-0.005780346820809301,2011,Tasa de Variación Interanual,CASTILLA Y LEÓN
Burgos,-0.001607286364854077,2011,Tasa de Variación Interanual,CASTILLA Y LEÓN
León,-0.0016187778227438887,2011,Tasa de Variación Interanual,CASTILLA Y LEÓN
Palencia,-0.004081632653061162,2011,Tasa de Variación Interanual,CASTILLA Y LEÓN
Salamanca,-0.001994870333428267,2011,Tasa de Variación Interanual,CASTILLA Y LEÓN
Segovia,0.0,2011,Tasa de Variación Interanual,CASTILLA Y LEÓN
Soria,-0.0021074815595364393,2011,Tasa de Variación Interanual,CASTILLA Y LEÓN
Valladolid,0.002070783132529952,2011,Tasa de Variación Interanual,CASTILLA Y LEÓN
Zamora,-0.005696530295183799,2011,Tasa de Variación Interanual,CASTILLA Y LEÓN
Albacete,0.003249999999999975,2011,Tasa de Variación Interanual,CASTILLA - LA MANCHA
Ciudad Real,0.0017129805862199365,2011,Tasa de Variación Interanual,CASTILLA - LA MANCHA
Cuenca,-0.0027752081406104967,2011,Tasa de Variación Interanual,CASTILLA - LA MANCHA
Guadalajara,0.015451664025356582,2011,Tasa de Variación Interanual,CASTILLA - LA MANCHA
Toledo,0.010335917312661369,2011,Tasa de Variación Interanual,CASTILLA - LA MANCHA
Barcelona,0.00261937244201893,2011,Tasa de Variación Interanual,CATALUÑA
Girona,0.00698643020287526,2011,Tasa de Variación Interanual,CATALUÑA
Lleida,0.005518510002299415,2011,Tasa de Variación Interanual,CATALUÑA
Tarragona,0.0059955033724705675,2011,Tasa de Variación Interanual,CATALUÑA
Alicante/Alacant,0.004021302032387819,2011,Tasa de Variación Interanual,COMUNITAT VALENCIANA
Castellón/Castelló,-0.0010082339102672755,2011,Tasa de Variación Interanual,COMUNITAT VALENCIANA
Valencia/València,0.00246700865410987,2011,Tasa de Variación Interanual,COMUNITAT VALENCIANA
Badajoz,0.0033401103688643907,2011,Tasa de Variación Interanual,EXTREMADURA
Cáceres,0.0019426906265178623,2011,Tasa de Variación Interanual,EXTREMADURA
"Coruña, A",0.0009658442356659247,2011,Tasa de Variación Interanual,GALICIA
Lugo,-0.004001143183766764,2011,Tasa de Variación Interanual,GALICIA
Ourense,-0.004538577912254205,2011,Tasa de Variación Interanual,GALICIA
Pontevedra,0.0017849643007139537,2011,Tasa de Variación Interanual,GALICIA
Araba/Álava,0.005647944775651226,2011,Tasa de Variación Interanual,PAÍS VASCO
Bizkaia,-8.650519031139225e-05,2011,Tasa de Variación Interanual,PAÍS VASCO
Gipuzkoa,0.001698754246885592,2011,Tasa de Variación Interanual,PAÍS VASCO
Total Nacional,0.003732617449664577,2011,Tasa de Variación Interanual,MELILLA
Almería,690.1,2012,Número de Habitantes,ANDALUCÍA
Cádiz,1244.9,2012,Número de Habitantes,ANDALUCÍA
Córdoba,801.0,2012,Número de Habitantes,ANDALUCÍA
Granada,921.5,2012,Número de Habitantes,ANDALUCÍA
Huelva,519.8,2012,Número de Habitantes,ANDALUCÍA
Jaén,664.3,2012,Número de Habitantes,ANDALUCÍA
Málaga,1603.2,2012,Número de Habitantes,ANDALUCÍA
Sevilla,1933.4,2012,Número de Habitantes,ANDALUCÍA
Huesca,225.0,2012,Número de Habitantes,ARAGÓN
Teruel,141.8,2012,Número de Habitantes,ARAGÓN
Zaragoza,973.2,2012,Número de Habitantes,ARAGÓN
"Palmas, Las",1090.2,2012,Número de Habitantes,CANARIAS
Santa Cruz de Tenerife,997.5,2012,Número de Habitantes,CANARIAS
Ávila,170.1,2012,Número de Habitantes,CASTILLA Y LEÓN
Burgos,370.3,2012,Número de Habitantes,CASTILLA Y LEÓN
León,490.3,2012,Número de Habitantes,CASTILLA Y LEÓN
Palencia,169.4,2012,Número de Habitantes,CASTILLA Y LEÓN
Salamanca,348.1,2012,Número de Habitantes,CASTILLA Y LEÓN
Segovia,161.9,2012,Número de Habitantes,CASTILLA Y LEÓN
Soria,93.9,2012,Número de Habitantes,CASTILLA Y LEÓN
Valladolid,531.6,2012,Número de Habitantes,CASTILLA Y LEÓN
Zamora,190.0,2012,Número de Habitantes,CASTILLA Y LEÓN
Albacete,400.1,2012,Número de Habitantes,CASTILLA - LA MANCHA
Ciudad Real,524.0,2012,Número de Habitantes,CASTILLA - LA MANCHA
Cuenca,212.7,2012,Número de Habitantes,CASTILLA - LA MANCHA
Guadalajara,257.2,2012,Número de Habitantes,CASTILLA - LA MANCHA
Toledo,704.2,2012,Número de Habitantes,CASTILLA - LA MANCHA
Barcelona,5507.3,2012,Número de Habitantes,CATALUÑA
Girona,750.5,2012,Número de Habitantes,CATALUÑA
Lleida,437.0,2012,Número de Habitantes,CATALUÑA
Tarragona,804.7,2012,Número de Habitantes,CATALUÑA
Alicante/Alacant,1852.4,2012,Número de Habitantes,COMUNITAT VALENCIANA
Castellón/Castelló,590.1,2012,Número de Habitantes,COMUNITAT VALENCIANA
Valencia/València,2556.6,2012,Número de Habitantes,COMUNITAT VALENCIANA
Badajoz,690.8,2012,Número de Habitantes,EXTREMADURA
Cáceres,411.1,2012,Número de Habitantes,EXTREMADURA
"Coruña, A",1139.1,2012,Número de Habitantes,GALICIA
Lugo,345.8,2012,Número de Habitantes,GALICIA
Ourense,326.2,2012,Número de Habitantes,GALICIA
Pontevedra,953.4,2012,Número de Habitantes,GALICIA
Araba/Álava,319.8,2012,Número de Habitantes,PAÍS VASCO
Bizkaia,1152.6,2012,Número de Habitantes,PAÍS VASCO
Gipuzkoa,708.3,2012,Número de Habitantes,PAÍS VASCO
Total Nacional,46749.3,2012,Número de Habitantes,MELILLA
Almería,0.014761718357280216,2012,Estructura Porcentual,ANDALUCÍA
Cádiz,0.02662927573247086,2012,Estructura Porcentual,ANDALUCÍA
Córdoba,0.01713394639064114,2012,Estructura Porcentual,ANDALUCÍA
Granada,0.019711525092354323,2012,Estructura Porcentual,ANDALUCÍA
Huelva,0.011118883063489718,2012,Estructura Porcentual,ANDALUCÍA
Jaén,0.014209838436083533,2012,Estructura Porcentual,ANDALUCÍA
Málaga,0.034293561614826315,2012,Estructura Porcentual,ANDALUCÍA
Sevilla,0.041356768978359035,2012,Estructura Porcentual,ANDALUCÍA
Huesca,0.004812906289505939,2012,Estructura Porcentual,ARAGÓN
Teruel,0.003033200497119743,2012,Estructura Porcentual,ARAGÓN
Zaragoza,0.02081742400420969,2012,Estructura Porcentual,ARAGÓN
"Palmas, Las",0.023320135274752775,2012,Estructura Porcentual,CANARIAS
Santa Cruz de Tenerife,0.02133721788347633,2012,Estructura Porcentual,CANARIAS
Ávila,0.0036385571548664896,2012,Estructura Porcentual,CASTILLA Y LEÓN
Burgos,0.007920974217795774,2012,Estructura Porcentual,CASTILLA Y LEÓN
León,0.01048785757219894,2012,Estructura Porcentual,CASTILLA Y LEÓN
Palencia,0.0036235836686324715,2012,Estructura Porcentual,CASTILLA Y LEÓN
Salamanca,0.007446100797231189,2012,Estructura Porcentual,CASTILLA Y LEÓN
Segovia,0.0034631534589822733,2012,Estructura Porcentual,CASTILLA Y LEÓN
Soria,0.0020085862248204788,2012,Estructura Porcentual,CASTILLA Y LEÓN
Valladolid,0.011371293260006032,2012,Estructura Porcentual,CASTILLA Y LEÓN
Zamora,0.004064231977805015,2012,Estructura Porcentual,CASTILLA Y LEÓN
Albacete,0.00855841691747256,2012,Estructura Porcentual,CASTILLA - LA MANCHA
Ciudad Real,0.011208723980893832,2012,Estructura Porcentual,CASTILLA - LA MANCHA
Cuenca,0.004549800745679614,2012,Estructura Porcentual,CASTILLA - LA MANCHA
Guadalajara,0.005501686656270788,2012,Estructura Porcentual,CASTILLA - LA MANCHA
Toledo,0.015063327151422588,2012,Estructura Porcentual,CASTILLA - LA MANCHA
Barcelona,0.11780497248087136,2012,Estructura Porcentual,CATALUÑA
Girona,0.01605371631232981,2012,Estructura Porcentual,CATALUÑA
Lleida,0.009347733548951534,2012,Estructura Porcentual,CATALUÑA
Tarragona,0.01721309196073524,2012,Estructura Porcentual,CATALUÑA
Alicante/Alacant,0.03962412271413689,2012,Estructura Porcentual,COMUNITAT VALENCIANA
Castellón/Castelló,0.012622648895277576,2012,Estructura Porcentual,COMUNITAT VALENCIANA
Valencia/València,0.05468744986555948,2012,Estructura Porcentual,COMUNITAT VALENCIANA
Badajoz,0.014776691843514232,2012,Estructura Porcentual,EXTREMADURA
Cáceres,0.00879371455829285,2012,Estructura Porcentual,EXTREMADURA
"Coruña, A",0.024366140241672066,2012,Estructura Porcentual,GALICIA
Lugo,0.007396902199605128,2012,Estructura Porcentual,GALICIA
Ourense,0.0069776445850526095,2012,Estructura Porcentual,GALICIA
Pontevedra,0.020393888250733166,2012,Estructura Porcentual,GALICIA
Araba/Álava,0.0068407441394844415,2012,Estructura Porcentual,PAÍS VASCO
Bizkaia,0.02465491461904242,2012,Estructura Porcentual,PAÍS VASCO
Gipuzkoa,0.015151028999364694,2012,Estructura Porcentual,PAÍS VASCO
Total Nacional,1.0,2012,Estructura Porcentual,MELILLA
Almería,0.0039278440500436496,2012,Tasa de Variación Interanual,ANDALUCÍA
Cádiz,0.0020928922160510233,2012,Tasa de Variación Interanual,ANDALUCÍA
Córdoba,-0.0013714000748036304,2012,Tasa de Variación Interanual,ANDALUCÍA
Granada,0.0006515365403410023,2012,Tasa de Variación Interanual,ANDALUCÍA
Huelva,0.0011556240369798854,2012,Tasa de Variación Interanual,ANDALUCÍA
Jaén,-0.004943079688436325,2012,Tasa de Variación Interanual,ANDALUCÍA
Málaga,0.009571788413098359,2012,Tasa de Variación Interanual,ANDALUCÍA
Sevilla,0.004259297735300205,2012,Tasa de Variación Interanual,ANDALUCÍA
Huesca,-0.0048651039363113435,2012,Tasa de Variación Interanual,ARAGÓN
Teruel,-0.01184668989547033,2012,Tasa de Variación Interanual,ARAGÓN
Zaragoza,-0.0016413623307344194,2012,Tasa de Variación Interanual,ARAGÓN
"Palmas, Las",0.007020136707925451,2012,Tasa de Variación Interanual,CANARIAS
Santa Cruz de Tenerife,0.006152915069598475,2012,Tasa de Variación Interanual,CANARIAS
Ávila,-0.01104651162790704,2012,Tasa de Variación Interanual,CASTILLA Y LEÓN
Burgos,-0.006439495572846732,2012,Tasa de Variación Interanual,CASTILLA Y LEÓN
León,-0.0062829347385487955,2012,Tasa de Variación Interanual,CASTILLA Y LEÓN
Palencia,-0.008196721311475419,2012,Tasa de Variación Interanual,CASTILLA Y LEÓN
Salamanca,-0.0059965733866360615,2012,Tasa de Variación Interanual,CASTILLA Y LEÓN
Segovia,-0.008573178199632658,2012,Tasa de Variación Interanual,CASTILLA Y LEÓN
Soria,-0.008447729672650395,2012,Tasa de Variación Interanual,CASTILLA Y LEÓN
Valladolid,-0.0013150479053164466,2012,Tasa de Variación Interanual,CASTILLA Y LEÓN
Zamora,-0.01041666666666663,2012,Tasa de Variación Interanual,CASTILLA Y LEÓN
Albacete,-0.0029902815848492637,2012,Tasa de Variación Interanual,CASTILLA - LA MANCHA
Ciudad Real,-0.004370131103933028,2012,Tasa de Variación Interanual,CASTILLA - LA MANCHA
Cuenca,-0.013450834879406348,2012,Tasa de Variación Interanual,CASTILLA - LA MANCHA
Guadalajara,0.00351150994927818,2012,Tasa de Variación Interanual,CASTILLA - LA MANCHA
Toledo,0.0005683432793408549,2012,Tasa de Variación Interanual,CASTILLA - LA MANCHA
Barcelona,-0.0008345579564215111,2012,Tasa de Variación Interanual,CATALUÑA
Girona,0.0013342228152102287,2012,Tasa de Variación Interanual,CATALUÑA
Lleida,-0.0006860278984679447,2012,Tasa de Variación Interanual,CATALUÑA
Tarragona,-0.0008691333498881404,2012,Tasa de Variación Interanual,CATALUÑA
Alicante/Alacant,0.0025979649274736616,2012,Tasa de Variación Interanual,COMUNITAT VALENCIANA
Castellón/Castelló,-0.007401177460050423,2012,Tasa de Variación Interanual,COMUNITAT VALENCIANA
Valencia/València,-0.0013281250000000133,2012,Tasa de Variación Interanual,COMUNITAT VALENCIANA
Badajoz,-0.00014473874656251162,2012,Tasa de Variación Interanual,EXTREMADURA
Cáceres,-0.003635482307319471,2012,Tasa de Variación Interanual,EXTREMADURA
"Coruña, A",-0.0007894736842105621,2012,Tasa de Variación Interanual,GALICIA
Lugo,-0.0077474892395982264,2012,Tasa de Variación Interanual,GALICIA
Ourense,-0.008510638297872353,2012,Tasa de Variación Interanual,GALICIA
Pontevedra,-0.0007336757153338924,2012,Tasa de Variación Interanual,GALICIA
Araba/Álava,-0.0021840873634945135,2012,Tasa de Variación Interanual,PAÍS VASCO
Bizkaia,-0.002854918245523086,2012,Tasa de Variación Interanual,PAÍS VASCO
Gipuzkoa,0.000989259468626269,2012,Tasa de Variación Interanual,PAÍS VASCO
Total Nacional,0.0002781563795166697,2012,Tasa de Variación Interanual,MELILLA
Almería,691.2,2013,Número de Habitantes,ANDALUCÍA
Cádiz,1245.6,2013,Número de Habitantes,ANDALUCÍA
Córdoba,798.3,2013,Número de Habitantes,ANDALUCÍA
Granada,920.1,2013,Número de Habitantes,ANDALUCÍA
Huelva,520.6,2013,Número de Habitantes,ANDALUCÍA
Jaén,658.5,2013,Número de Habitantes,ANDALUCÍA
Málaga,1612.6,2013,Número de Habitantes,ANDALUCÍA
Sevilla,1934.4,2013,Número de Habitantes,ANDALUCÍA
Huesca,224.1,2013,Número de Habitantes,ARAGÓN
Teruel,140.3,2013,Número de Habitantes,ARAGÓN
Zaragoza,969.5,2013,Número de Habitantes,ARAGÓN
"Palmas, Las",1094.6,2013,Número de Habitantes,CANARIAS
Santa Cruz de Tenerife,1001.6,2013,Número de Habitantes,CANARIAS
Ávila,168.2,2013,Número de Habitantes,CASTILLA Y LEÓN
Burgos,367.2,2013,Número de Habitantes,CASTILLA Y LEÓN
León,486.1,2013,Número de Habitantes,CASTILLA Y LEÓN
Palencia,167.8,2013,Número de Habitantes,CASTILLA Y LEÓN
Salamanca,345.5,2013,Número de Habitantes,CASTILLA Y LEÓN
Segovia,160.0,2013,Número de Habitantes,CASTILLA Y LEÓN
Soria,92.8,2013,Número de Habitantes,CASTILLA Y LEÓN
Valladolid,529.7,2013,Número de Habitantes,CASTILLA Y LEÓN
Zamora,187.4,2013,Número de Habitantes,CASTILLA Y LEÓN
Albacete,397.2,2013,Número de Habitantes,CASTILLA - LA MANCHA
Ciudad Real,520.2,2013,Número de Habitantes,CASTILLA - LA MANCHA
Cuenca,209.5,2013,Número de Habitantes,CASTILLA - LA MANCHA
Guadalajara,255.7,2013,Número de Habitantes,CASTILLA - LA MANCHA
Toledo,700.4,2013,Número de Habitantes,CASTILLA - LA MANCHA
Barcelona,5476.1,2013,Número de Habitantes,CATALUÑA
Girona,747.6,2013,Número de Habitantes,CATALUÑA
Lleida,433.9,2013,Número de Habitantes,CATALUÑA
Tarragona,798.7,2013,Número de Habitantes,CATALUÑA
Alicante/Alacant,1848.6,2013,Número de Habitantes,COMUNITAT VALENCIANA
Castellón/Castelló,583.1,2013,Número de Habitantes,COMUNITAT VALENCIANA
Valencia/València,2538.3,2013,Número de Habitantes,COMUNITAT VALENCIANA
Badajoz,689.5,2013,Número de Habitantes,EXTREMADURA
Cáceres,409.0,2013,Número de Habitantes,EXTREMADURA
"Coruña, A",1134.9,2013,Número de Habitantes,GALICIA
Lugo,342.8,2013,Número de Habitantes,GALICIA
Ourense,323.0,2013,Número de Habitantes,GALICIA
Pontevedra,951.4,2013,Número de Habitantes,GALICIA
Araba/Álava,320.3,2013,Número de Habitantes,PAÍS VASCO
Bizkaia,1146.2,2013,Número de Habitantes,PAÍS VASCO
Gipuzkoa,708.3,2013,Número de Habitantes,PAÍS VASCO
Total Nacional,46581.1,2013,Número de Habitantes,MELILLA
Almería,0.014838636270933922,2013,Estructura Porcentual,ANDALUCÍA
Cádiz,0.0267404591132455,2013,Estructura Porcentual,ANDALUCÍA
Córdoba,0.017137852047289567,2013,Estructura Porcentual,ANDALUCÍA
Granada,0.019752646459615598,2013,Estructura Porcentual,ANDALUCÍA
Huelva,0.011176206658923899,2013,Estructura Porcentual,ANDALUCÍA
Jaén,0.014136634815407967,2013,Estructura Porcentual,ANDALUCÍA
Málaga,0.03461919104529519,2013,Estructura Porcentual,ANDALUCÍA
Sevilla,0.04152757234157201,2013,Estructura Porcentual,ANDALUCÍA
Huesca,0.004810964103466857,2013,Estructura Porcentual,ARAGÓN
Teruel,0.0030119511990914774,2013,Estructura Porcentual,ARAGÓN
Zaragoza,0.02081316241995144,2013,Estructura Porcentual,ARAGÓN
"Palmas, Las",0.023498801015862655,2013,Estructura Porcentual,CANARIAS
Santa Cruz de Tenerife,0.021502283114825542,2013,Estructura Porcentual,CANARIAS
Ávila,0.0036109065694026115,2013,Estructura Porcentual,CASTILLA Y LEÓN
Burgos,0.007883025518933644,2013,Estructura Porcentual,CASTILLA Y LEÓN
León,0.010435562921442388,2013,Estructura Porcentual,CASTILLA Y LEÓN
Palencia,0.0036023193956347104,2013,Estructura Porcentual,CASTILLA Y LEÓN
Salamanca,0.007417171342024985,2013,Estructura Porcentual,CASTILLA Y LEÓN
Segovia,0.0034348695071606296,2013,Estructura Porcentual,CASTILLA Y LEÓN
Soria,0.001992224314153165,2013,Estructura Porcentual,CASTILLA Y LEÓN
Valladolid,0.011371564862143661,2013,Estructura Porcentual,CASTILLA Y LEÓN
Zamora,0.004023090910261888,2013,Estructura Porcentual,CASTILLA Y LEÓN
Albacete,0.008527063551526264,2013,Estructura Porcentual,CASTILLA - LA MANCHA
Ciudad Real,0.011167619485155999,2013,Estructura Porcentual,CASTILLA - LA MANCHA
Cuenca,0.004497532260938449,2013,Estructura Porcentual,CASTILLA - LA MANCHA
Guadalajara,0.005489350831131081,2013,Estructura Porcentual,CASTILLA - LA MANCHA
Toledo,0.015036141267595655,2013,Estructura Porcentual,CASTILLA - LA MANCHA
Barcelona,0.11756055567601453,2013,Estructura Porcentual,CATALUÑA
Girona,0.016049427772208042,2013,Estructura Porcentual,CATALUÑA
Lleida,0.009314936744731233,2013,Estructura Porcentual,CATALUÑA
Tarragona,0.01714643922105747,2013,Estructura Porcentual,CATALUÑA
Alicante/Alacant,0.03968562356835712,2013,Estructura Porcentual,COMUNITAT VALENCIANA
Castellón/Castelló,0.01251795256015852,2013,Estructura Porcentual,COMUNITAT VALENCIANA
Valencia/València,0.05449205793766142,2013,Estructura Porcentual,COMUNITAT VALENCIANA
Badajoz,0.014802140782420339,2013,Estructura Porcentual,EXTREMADURA
Cáceres,0.008780385177679359,2013,Estructura Porcentual,EXTREMADURA
"Coruña, A",0.02436395877297874,2013,Estructura Porcentual,GALICIA
Lugo,0.0073592079190916496,2013,Estructura Porcentual,GALICIA
Ourense,0.006934142817580521,2013,Estructura Porcentual,GALICIA
Pontevedra,0.020424592806953894,2013,Estructura Porcentual,GALICIA
Araba/Álava,0.006876179394647186,2013,Estructura Porcentual,PAÍS VASCO
Bizkaia,0.02460654643192196,2013,Estructura Porcentual,PAÍS VASCO
Gipuzkoa,0.015205737949511711,2013,Estructura Porcentual,PAÍS VASCO
Total Nacional,1.0,2013,Estructura Porcentual,MELILLA
Almería,0.0015939718881321507,2013,Tasa de Variación Interanual,ANDALUCÍA
Cádiz,0.0005622941601732823,2013,Tasa de Variación Interanual,ANDALUCÍA
Córdoba,-0.003370786516853963,2013,Tasa de Variación Interanual,ANDALUCÍA
Granada,-0.0015192620727074724,2013,Tasa de Variación Interanual,ANDALUCÍA
Huelva,0.0015390534821086987,2013,Tasa de Variación Interanual,ANDALUCÍA
Jaén,-0.008730995032364852,2013,Tasa de Variación Interanual,ANDALUCÍA
Málaga,0.005863273453093676,2013,Tasa de Variación Interanual,ANDALUCÍA
Sevilla,0.0005172235440156214,2013,Tasa de Variación Interanual,ANDALUCÍA
Huesca,-0.0040000000000000036,2013,Tasa de Variación Interanual,ARAGÓN
Teruel,-0.010578279266572621,2013,Tasa de Variación Interanual,ARAGÓN
Zaragoza,-0.003801890669954844,2013,Tasa de Variación Interanual,ARAGÓN
"Palmas, Las",0.0040359567051915235,2013,Tasa de Variación Interanual,CANARIAS
Santa Cruz de Tenerife,0.004110275689223064,2013,Tasa de Variación Interanual,CANARIAS
Ávila,-0.011169900058788929,2013,Tasa de Variación Interanual,CASTILLA Y LEÓN
Burgos,-0.008371590602214485,2013,Tasa de Variación Interanual,CASTILLA Y LEÓN
León,-0.008566183968998553,2013,Tasa de Variación Interanual,CASTILLA Y LEÓN
Palencia,-0.009445100354191216,2013,Tasa de Variación Interanual,CASTILLA Y LEÓN
Salamanca,-0.007469118069520331,2013,Tasa de Variación Interanual,CASTILLA Y LEÓN
Segovia,-0.011735639283508403,2013,Tasa de Variación Interanual,CASTILLA Y LEÓN
Soria,-0.011714589989350488,2013,Tasa de Variación Interanual,CASTILLA Y LEÓN
Valladolid,-0.003574115876598949,2013,Tasa de Variación Interanual,CASTILLA Y LEÓN
Zamora,-0.013684210526315743,2013,Tasa de Variación Interanual,CASTILLA Y LEÓN
Albacete,-0.007248187953011853,2013,Tasa de Variación Interanual,CASTILLA - LA MANCHA
Ciudad Real,-0.007251908396946449,2013,Tasa de Variación Interanual,CASTILLA - LA MANCHA
Cuenca,-0.015044663845792172,2013,Tasa de Variación Interanual,CASTILLA - LA MANCHA
Guadalajara,-0.005832037325038897,2013,Tasa de Variación Interanual,CASTILLA - LA MANCHA
Toledo,-0.005396194262993537,2013,Tasa de Variación Interanual,CASTILLA - LA MANCHA
Barcelona,-0.0056652079966589275,2013,Tasa de Variación Interanual,CATALUÑA
Girona,-0.0038640906062624714,2013,Tasa de Variación Interanual,CATALUÑA
Lleida,-0.007093821510297582,2013,Tasa de Variación Interanual,CATALUÑA
Tarragona,-0.007456194855225529,2013,Tasa de Variación Interanual,CATALUÑA
Alicante/Alacant,-0.002051392787734918,2013,Tasa de Variación Interanual,COMUNITAT VALENCIANA
Castellón/Castelló,-0.011862396204033177,2013,Tasa de Variación Interanual,COMUNITAT VALENCIANA
Valencia/València,-0.007157944144566941,2013,Tasa de Variación Interanual,COMUNITAT VALENCIANA
Badajoz,-0.0018818760856976757,2013,Tasa de Variación Interanual,EXTREMADURA
Cáceres,-0.005108246168815445,2013,Tasa de Variación Interanual,EXTREMADURA
"Coruña, A",-0.003687121411640626,2013,Tasa de Variación Interanual,GALICIA
Lugo,-0.008675534991324452,2013,Tasa de Variación Interanual,GALICIA
Ourense,-0.009809932556713585,2013,Tasa de Variación Interanual,GALICIA
Pontevedra,-0.0020977554017201916,2013,Tasa de Variación Interanual,GALICIA
Araba/Álava,0.0015634771732333519,2013,Tasa de Variación Interanual,PAÍS VASCO
Bizkaia,-0.0055526635432933125,2013,Tasa de Variación Interanual,PAÍS VASCO
Gipuzkoa,0.0,2013,Tasa de Variación Interanual,PAÍS VASCO
Total Nacional,-0.0035979148350885337,2013,Tasa de Variación Interanual,MELILLA
Almería,691.8,2014,Número de Habitantes,ANDALUCÍA
Cádiz,1245.2,2014,Número de Habitantes,ANDALUCÍA
Córdoba,795.4,2014,Número de Habitantes,ANDALUCÍA
Granada,917.8,2014,Número de Habitantes,ANDALUCÍA
Huelva,520.5,2014,Número de Habitantes,ANDALUCÍA
Jaén,654.0,2014,Número de Habitantes,ANDALUCÍA
Málaga,1622.7,2014,Número de Habitantes,ANDALUCÍA
Sevilla,1934.1,2014,Número de Habitantes,ANDALUCÍA
Huesca,223.2,2014,Número de Habitantes,ARAGÓN
Teruel,138.7,2014,Número de Habitantes,ARAGÓN
Zaragoza,965.8,2014,Número de Habitantes,ARAGÓN
"Palmas, Las",1094.9,2014,Número de Habitantes,CANARIAS
Santa Cruz de Tenerife,1002.4,2014,Número de Habitantes,CANARIAS
Ávila,166.3,2014,Número de Habitantes,CASTILLA Y LEÓN
Burgos,364.1,2014,Número de Habitantes,CASTILLA Y LEÓN
León,480.9,2014,Número de Habitantes,CASTILLA Y LEÓN
Palencia,166.5,2014,Número de Habitantes,CASTILLA Y LEÓN
Salamanca,342.8,2014,Número de Habitantes,CASTILLA Y LEÓN
Segovia,158.1,2014,Número de Habitantes,CASTILLA Y LEÓN
Soria,91.8,2014,Número de Habitantes,CASTILLA Y LEÓN
Valladolid,527.6,2014,Número de Habitantes,CASTILLA Y LEÓN
Zamora,185.0,2014,Número de Habitantes,CASTILLA Y LEÓN
Albacete,394.9,2014,Número de Habitantes,CASTILLA - LA MANCHA
Ciudad Real,516.0,2014,Número de Habitantes,CASTILLA - LA MANCHA
Cuenca,206.7,2014,Número de Habitantes,CASTILLA - LA MANCHA
Guadalajara,254.5,2014,Número de Habitantes,CASTILLA - LA MANCHA
Toledo,695.3,2014,Número de Habitantes,CASTILLA - LA MANCHA
Barcelona,5451.0,2014,Número de Habitantes,CATALUÑA
